study,domain,sub_domain,source,metric,atlas,table_name,table_label,name,label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_stata,identifier_columns,order_sort
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__comp__cryst__agecorr_score,NIH Toolbox: Crystallized composite - Age-corrected standard score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_cryst_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0005,participant_id | session_id,5
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__comp__fluid__agecorr_score,NIH Toolbox: Cognition fluid composite - Age-corrected standard score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_fluidcomp_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0009,participant_id | session_id,9
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__comp__tot__agecor_score,NIH Toolbox: Cognition total composite - Age-corrected standard score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_totalcomp_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0013,participant_id | session_id,13
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__crdst__agecorr_score,Dimensional Change Card Sort Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_cardsort_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0028,participant_id | session_id,28
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__readr__agecor_score,Oral Reading Recognition Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_reading_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0136,participant_id | session_id,136
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__flnkr__agecor_score,Flanker Inhibitory Control and Attention Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_flanker_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0046,participant_id | session_id,46
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__lswmt__agecor_score,List Sorting Working Memory Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_list_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0064,participant_id | session_id,64
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__picsq__agecor_score,Picture Sequence Memory Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_picture_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0081,participant_id | session_id,81
Core,Neurocognition,Task,Youth,,,nc_y_nihtb,NIH Toolbox [Youth],nc_y_nihtb__picvcb__agecor_score,Picture Vocabulary Task (NIH Toolbox): Age-Corrected Standard Score,,,,,summary score,double,interval,,,,,,,,abcd_tbss01,nc_y_nihtb,,nihtbx_picvocab_agecorrected,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nc.html#nc_y_nihtb,,,,,,nc_y_nihtb_0100,participant_id | session_id,100
Core,Novel Technologies,Screen Use,Parent,,,nt_p_yst,Screen Time Questionnaire [Parent],nt_p_yst__screen__wknd_sum,Youth Screen time [Parent] (weekend): Sum,,,,,summary score,double,ratio,,,,,,,,,,,,,,,https://data.abcdstudy.org/reports/abcd-docs-next/documentation/non_imaging/nt.html#nt_p_yst,,,,,https://data.abcdstudy.org/reports/ABCDscores-future/reference/compute_nt_p_yst__screen__wknd_sum.html,nt_p_yst_0054,participant_id | session_id,54
