name,value,order_level,label,label_es
ab_g_dyn__cohort_edu__cgs,1,1,Up to high school (No diploma),
ab_g_dyn__cohort_edu__cgs,2,2,High school diploma/GED,
ab_g_dyn__cohort_edu__cgs,3,3,Some college,
ab_g_dyn__cohort_edu__cgs,4,4,Bachelor's degree,
ab_g_dyn__cohort_edu__cgs,5,5,Graduate school or professional degree,
ab_g_dyn__cohort_income__hhold__3lvl,1,1,< 50k,
ab_g_dyn__cohort_income__hhold__3lvl,2,2,50k to 100k,
ab_g_dyn__cohort_income__hhold__3lvl,3,3,> 100k,
ab_g_dyn__cohort_income__hhold__3lvl,999,4,Don't know,
ab_g_dyn__cohort_income__hhold__3lvl,777,5,Decline to answer,
ab_g_dyn__cohort_income__hhold__6lvl,1,1,< 25k,
ab_g_dyn__cohort_income__hhold__6lvl,2,2,25k to 50k,
ab_g_dyn__cohort_income__hhold__6lvl,3,3,50k to 75k,
ab_g_dyn__cohort_income__hhold__6lvl,4,4,75k to 100k,
ab_g_dyn__cohort_income__hhold__6lvl,5,5,100k to 200k,
ab_g_dyn__cohort_income__hhold__6lvl,6,6,> 200k,
ab_g_dyn__cohort_income__hhold__6lvl,999,7,Don't know,
ab_g_dyn__cohort_income__hhold__6lvl,777,8,Decline to answer,
ab_g_dyn__design_site,1,1,Children's Hospital Los Angeles,
ab_g_dyn__design_site,2,2,University of Colorado Boulder,
ab_g_dyn__design_site,3,3,Florida International University,
ab_g_dyn__design_site,4,4,Laureate Institute for Brain Research,
ab_g_dyn__design_site,5,5,Medical University of South Carolina,
ab_g_dyn__design_site,6,6,Oregon Health & Science University,
ab_g_dyn__design_site,7,7,University of Rochester,
ab_g_dyn__design_site,8,8,SRI International,
ab_g_dyn__design_site,9,9,"University of California, Los Angeles",
ab_g_dyn__design_site,10,10,"University of California, San Diego",
ab_g_dyn__design_site,11,11,University of Florida,
ab_g_dyn__design_site,12,12,"University of Maryland, Baltimore",
ab_g_dyn__design_site,13,13,University of Michigan,
ab_g_dyn__design_site,14,14,University of Minnesota,
ab_g_dyn__design_site,15,15,University of Pittsburgh Medical Center,
ab_g_dyn__design_site,16,16,University of Utah,
ab_g_dyn__design_site,17,17,University of Vermont,
ab_g_dyn__design_site,18,18,"University of Wisconsin, Milwaukee",
ab_g_dyn__design_site,19,19,Virginia Commonwealth University,
ab_g_dyn__design_site,20,20,Washington University in St. Louis,
ab_g_dyn__design_site,21,21,Yale University,
ab_g_dyn__design_site,22,22,Icahn School of Medicine at Mount Sinai,
ab_g_dyn__visit_type,1,1,On-site,
ab_g_dyn__visit_type,2,2,Remote,
ab_g_dyn__visit_type,3,3,Hybrid,
ab_g_stc__cohort_ethn,1,1,Hispanic,
ab_g_stc__cohort_ethn,2,2,Non-Hispanic,
ab_g_stc__cohort_ethnrace__leg,1,1,Hispanic,
ab_g_stc__cohort_ethnrace__leg,2,2,White,
ab_g_stc__cohort_ethnrace__leg,3,3,Black,
ab_g_stc__cohort_ethnrace__leg,4,4,Asian,
ab_g_stc__cohort_ethnrace__leg,13,5,Other,
ab_g_stc__cohort_race__nih,2,1,White,
ab_g_stc__cohort_race__nih,3,2,Black (African American),
ab_g_stc__cohort_race__nih,4,3,Asian,
ab_g_stc__cohort_race__nih,5,4,American Indian/Alaska Native,
ab_g_stc__cohort_race__nih,6,5,Native Hawaiian or Other Pacific Islander,
ab_g_stc__cohort_race__nih,8,6,More than One Race,
ab_g_stc__cohort_race__nih,13,7,Other (Unknown or not reported),
ab_g_stc__cohort_sex,1,1,Male,
ab_g_stc__cohort_sex,2,2,Female,
fc_y_nsc__ns_003,1,1,Strongly disagree,
fc_y_nsc__ns_003,2,2,Disagree,
fc_y_nsc__ns_003,3,3,Neutral (neither agree nor disagree),
fc_y_nsc__ns_003,4,4,Agree,
fc_y_nsc__ns_003,5,5,Strongly agree,
fc_y_nsc__ns_003,999,6,Don't know,
fc_y_nsc__ns_003,777,7,Decline to answer,
su_y_itu__alc_001,1,1,Very curious,
su_y_itu__alc_001,2,2,Somewhat curious,
su_y_itu__alc_001,3,3,A little curious,
su_y_itu__alc_001,4,4,Not at all curious,
su_y_itu__alc_001,999,5,Don't know,
su_y_itu__alc_001,777,6,Decline to answer,
su_y_itu__mj_001,1,1,Very curious,
su_y_itu__mj_001,2,2,Somewhat curious,
su_y_itu__mj_001,3,3,A little curious,
su_y_itu__mj_001,4,4,Not at all curious,
su_y_itu__mj_001,999,5,Don't know,
su_y_itu__mj_001,777,6,Decline to answer,
su_y_itu__nic_001,1,1,Very curious,
su_y_itu__nic_001,2,2,Somewhat curious,
su_y_itu__nic_001,3,3,A little curious,
su_y_itu__nic_001,4,4,Not at all curious,
su_y_itu__nic_001,999,5,Don't know,
su_y_itu__nic_001,777,6,Decline to answer,
